StudyID,NodeID,Description,LOPATarget,LOPATargetDiscussion,Status,CreatedDate,CreatedBy,FrequencyEstimation,ApproxLatitude,ApproxLongitude,StudyForInhalation,StudyForFire,ReliefCalculation,StoragePressure,StorageTemperature,ExitPressure,ExitTemperature,ReliefRate,CatastrophicRelease,DischargeDiameter,ReleaseElevation,ReleaseOrientation,RelievingPhase,MaximumVolume,MolarComposition,Basis,MaximumMass,AvailablePoolArea,IndoorRelease,LOPAID,CapitalProject,ProcessingLog,DistNonProcPlantPop,ProcAreaPopDensity,Site,IncludeDiagnostics,PersonnelAtReleaseElevation,WeatherCondition,NightProcAreaPopDensity,ProductionRoomVol,ProductionRoomACH,ProductionRoomVentDiameter,ProductionRoomVentOrientation,ProductionRoomVentElevation
13,7,"3/4 Ox - Relief to Blowdown Tank - Vapor Only

System pressure at relief valve opening pressure.  Saturation temperature.  

External fire is a credible scenario in the relief calc.  However, Case 13 uses governing chemical, which may not be representative of conservative dispersion model.  

Estimate here based on rate of flow across 6-in orifice (PSV orifice).  Remainder of piping is >= 10-inch, so losses should be minimal.

Relief is to blowdown tank.  Dispersion model assumes only vapor component is discharged to environment.   ",,,0,2023-10-18 19:07:31.660,u773253,,36.528139,-82.544356,True,True,True,,,0.5,114.0,370863.57,False,18.0,22.86,0,1,,False,Mass,40909.0,,False,,,,139.0,10.0,Kingsport,True,False,both,5.0,,,,,
15,9,collection tank,,,20,2023-10-18 21:37:15.330,u775534,12.0,,,True,True,False,14.3,74.0,,,,False,3.0,20.0,3,0,,False,Mass,1300.0,3000.0,False,132345,,,1000.0,5.0,,False,False,night,,,,,,
16,9,collection tank - COPY - 03/07/2023 11:26:18 -05:00,,,20,2023-10-18 21:40:46.887,u775534,12.0,,,True,True,False,14.3,74.0,,,,False,3.0,20.0,3,0,,False,Mass,1300.0,3000.0,False,132345,,,1000.0,5.0,,False,False,night,,,,,,
17,9,collection tank - COPY - 03/07/2023 11:26:18 -05:00 - COPY - 03/20/2023 14:00:27 -04:00,,,20,2023-10-18 21:40:52.000,u775534,12.0,,,True,True,False,14.3,74.0,,,,False,3.0,20.0,3,0,,False,Mass,1300.0,3000.0,False,132345,,,1000.0,5.0,,False,False,night,,,,,,
18,9,collection tank - release of VAM charge from collector tank during deflagration in the PK,,,20,2023-10-18 21:40:56.543,u775534,12.0,,,True,True,False,14.3,74.0,,,,False,18.0,20.0,3,0,0.27,False,Volume,1300.0,3000.0,False,132345,,,1000.0,5.0,,False,False,night,,,,,,
19,9,"collection tank - no shrapnel, just venting of material",,,20,2023-10-18 21:40:57.547,u775534,12.0,,,True,True,False,14.3,74.0,,,,False,6.0,20.0,3,0,,False,Mass,227.0,3000.0,False,132345,,,1000.0,5.0,,False,False,night,,,,,,
20,9,"collection tank - no shrapnel, just venting of material - COPY - 09/19/2023 14:00:59 -04:00",,,20,2023-10-18 21:41:03.320,U775534,12.0,,,True,True,False,14.3,74.0,,,,False,6.0,20.0,3,0,,False,Mass,129.0,3000.0,False,132345,,,1000.0,5.0,,False,False,both,3.0,,,,,
21,9,collection tank no shrapnel release of 285 lb VAM/water/HAc,,,0,2023-10-18 21:41:08.170,U775534,12.0,,,True,True,False,14.3,74.0,,,,False,6.0,20.0,3,0,,False,Mass,129.0,3000.0,False,,,,1000.0,5.0,,False,False,both,3.0,,,,,
22,10,"loss of RW to methanol column results in column overpressure and release. normal operating conditions are 1 psig and 150C. During a loss of cooling event, the pressure would increase until failure of the vessel (in the event of RD/PSV failure), ",,,20,2023-10-18 21:41:13.063,u775534,13.0,,,True,True,False,99.0,175.0,,,,True,,10.0,3,0,,False,Mass,20000.0,250.0,False,,,,111.0,4.0,,False,False,night,,,,,,
23,11,Reactor Overfill,,,20,2023-10-18 21:41:16.787,u775534,11.0,,,True,True,False,15.0,200.0,,,,True,,0.0,0,0,,False,Mass,11000.0,1000.0,False,,,,162.0,5.0,,False,False,night,,,,,,
24,11,"Reactor Overfill 
TEDP1035 Rev F",,,10,2023-10-18 21:41:19.143,u775534,11.0,36.525518,-82.5435,True,True,False,15.0,200.0,,,,True,,0.0,0,0,,False,Mass,11000.0,1000.0,False,,,,162.0,5.0,Kingsport,False,False,night,,,,,,
25,11,"Reactor Overfill 
TEDP1035 Rev F - MJ Diagnostic
Test for Unconfined",,,10,2023-10-18 21:41:23.453,u773253,11.0,36.525518,-82.5435,True,True,False,15.0,200.0,,,,True,,0.0,0,0,,False,Mass,11000.0,,False,,,,162.0,5.0,,True,False,night,,,,,,
26,12,Overfill of railcar at North and South,,,20,2023-10-18 21:41:28.267,u775534,12.0,33.861061,-81.010264,True,True,False,0.5,60.0,,,,False,20.0,2.0,6,0,,False,Mass,1843.0,,False,,,,413.0,3.0,,False,True,night,,,,,,
27,12,Overfill of ED-01 from railcar/tank trailer,,,20,2023-10-18 21:41:29.767,u775534,12.0,33.862356,-81.011517,True,True,False,0.76,40.0,,,,True,,0.0,0,2,1177.0,False,Volume,,200.0,False,,AC.7076,,413.0,3.0,,False,False,night,,,,,,
28,12,overfill #2,,,100,2023-10-18 21:41:32.060,u775534,12.0,33.862356,-81.011517,True,True,False,0.76,75.0,,,,True,,0.0,0,0,1174.0,False,Volume,,200.0,False,,AC.7076,,413.0,3.0,,False,False,night,,,,,,
29,12,"AS-50 overfill. Vessel is located inside the building on the 6th floor, which is solid. release elevation assumed to be 0 m since no dispersion at elevation would occur.",,,20,2023-10-18 21:41:32.710,u775534,12.0,33.864351,-81.012688,True,True,False,14.5,137.0,,,,True,,0.0,0,0,,False,Mass,5904.0,,False,,AC.7076,,153.0,4.0,,False,False,night,,,,,,
30,12,Overfill of railcar at North and South - MJ Review,,,20,2023-10-18 21:41:36.053,u773253,12.0,33.861061,-81.010264,True,True,False,0.5,60.0,,,,False,20.0,2.0,6,0,,False,Mass,1843.0,,False,,,,413.0,3.0,,True,False,night,,,,,,
31,12,"AS-50 overfill. Vessel is located inside the building on the 6th floor, which is solid. release elevation assumed to be 0 m since no dispersion at elevation would occur. - MJ Review",,,100,2023-10-18 21:41:39.250,u773253,12.0,33.864351,-81.012688,True,True,False,14.5,137.0,,,,True,,0.0,0,0,,False,Mass,5904.0,28.0,False,,AC.7076,,153.0,4.0,,True,False,night,,,,,,
32,12,"AS-50 overfill. Vessel is located inside the building on the 6th floor, which is solid. release elevation assumed to be 0 m since no dispersion at elevation would occur. - MJ Review - Uncontained",,,20,2023-10-18 21:41:39.817,u773253,12.0,33.864351,-81.012688,True,True,False,14.5,137.0,,,,True,,0.0,0,0,,False,Mass,5904.0,,False,,AC.7076,,153.0,4.0,,True,False,night,,,,,,
33,12,"AS-50 overfill. Vessel is located inside the building on the 6th floor, which is solid. release elevation assumed to be 0 m since no dispersion at elevation would occur. - MJ Review - Uncontained - Continuous",,,20,2023-10-18 21:41:42.970,u773253,12.0,33.864351,-81.012688,True,True,False,14.5,137.0,,,,False,10.0,0.0,0,0,,False,Mass,5904.0,,False,,AC.7076,,153.0,4.0,,False,False,night,,,,,,
34,12,Overfill of ED-01 from railcar/tank trailer - MJ Testing Uncontained,,,100,2023-10-18 21:41:47.153,u773253,12.0,33.862356,-81.011517,True,True,False,0.76,40.0,,,,True,,0.0,0,2,1177.0,False,Volume,,,False,,AC.7076,,413.0,3.0,,False,False,night,,,,,,
35,13,tank 52-D-32,,,100,2023-10-18 21:41:48.797,u775534,12.0,,,True,True,False,0.5,45.0,,,,True,,0.0,0,0,,True,Mass,41225.0,620.0,False,,,,317.0,5.0,Kingsport,False,False,night,,,,,,
36,14,Acetone dope release from settling tank CP-26,,,20,2023-10-18 21:41:51.363,u775534,12.0,36.52065,-82.540598,True,True,False,2.0,50.0,,,,True,,20.0,0,0,16.8,False,Volume,,1000.0,False,,,,220.0,3.0,Kingsport,False,True,night,,,,,,
37,15,5R n-propyl acetate tank,,,20,2023-10-18 21:42:01.847,u775534,12.0,36.52475,-82.543621,True,True,False,0.5,30.0,,,,False,2.0,5.0,0,0,,False,Mass,25968.0,,False,,,,174.0,10.0,Kingsport,False,False,night,,,,,,
38,15,"5R n-propyl acetate tank - MJ - B90A now unoccupied.  Replacing with B6A, closest low-occ bldg ",,,20,2023-10-18 21:42:04.167,u773253,12.0,36.52475,-82.543621,True,True,False,0.5,30.0,,,,False,2.0,5.0,0,0,,False,Mass,25968.0,,False,,,,174.0,10.0,,False,False,night,,,,,,
39,15,"5R n-propyl acetate tank - MJ - B90A now unoccupied.  Replacing with B6A, closest low-occ bldg  - Take 2.  First attempt appears to not be returning values.",,,20,2023-10-18 21:42:10.407,u773253,12.0,36.52475,-82.543621,True,True,False,0.5,30.0,,,,False,2.0,5.0,0,0,,False,Mass,25968.0,,False,,,,174.0,10.0,,False,False,night,,,,,,
40,16,"14E-16 chiller Tube leak/break leading to shell rupture, release, injury",,,20,2023-10-18 21:42:19.770,u775534,12.0,36.513735,-82.544529,True,True,False,303.0,-8.0,,,,True,,5.0,0,0,,False,Mass,18165.0,,False,,,,120.0,3.0,Kingsport,False,False,night,,,,,,
41,16,"14E-16 chiller Tube leak/break leading to shell rupture, release, injury - COPY - 05/22/2023 14:51:53 -04:00",,,20,2023-10-18 21:42:21.277,u773253,12.0,36.513735,-82.544529,True,True,False,303.0,-8.0,,,,True,,5.0,0,0,,False,Mass,18165.0,,False,,,,120.0,3.0,,False,False,night,,,,,,
42,17,Overfill of tank 43-75 with 2-ethylhexaldehyde. volume of tank plus volume of railcar. estimate.,,,20,2023-10-18 21:42:22.973,u775534,0.0,36.524649,-82.550543,True,True,False,0.2875,30.0,,,,True,,0.0,0,0,550.0,False,Volume,,2756.0,False,,,,776.0,3.0,Kingsport,False,False,both,3.0,,,,,
43,18,"Tank 68-9 DMT tank. Release from top-weld seam. 
Tank rated for ~0.3 psig. When liquid full, pressure in tank will be ~6.25 psig. Waiting on verification from vessel group that failure occurs at top-weld seam.
",,,100,2023-10-18 21:42:33.233,u775534,0.0,36.515182,-82.534179,True,True,False,0.3,155.0,,,,False,6.0,16.0,3,0,185.0,False,Volume,22600.0,,False,,,,135.0,3.0,Kingsport,False,True,night,,,,,,
44,19,Crude acetone release in building area,,,0,2023-10-18 21:42:33.993,u775534,,36.518974,-82.540125,True,True,True,,,50.0,40.0,488400.0,False,10.0,8.0,6,0,,False,Mass,110500.0,,False,,,,67.0,6.0,Kingsport,False,False,night,,,,,,
45,19,Crude acetone release in building area - COPY - 08/03/2023 11:35:50 -04:00,,,0,2023-10-18 21:42:53.697,u775534,,36.518974,-82.540125,True,True,True,,,50.0,40.0,488400.0,False,10.0,8.0,6,0,,False,Mass,110500.0,,False,,,,,,,False,False,night,,,,,,
46,19,Crude acetone release in sidewalk area,,,0,2023-10-18 21:42:54.350,u775534,,36.518774,-82.540541,True,True,True,,,50.0,40.0,488400.0,False,10.0,8.0,6,0,,False,Mass,110500.0,,False,,,,9.0,6.0,Kingsport,False,False,night,,,,,,
60,23,"Overfill of new sludge tank 51
Need vessel rating MAWP/MAWT
current MAWT is 100F; operates above this :(
definition around pool area. is there any containment?
mass estimate is conservative 
Need location information/building data
Ratios of components in tank",,,0,2023-10-18 21:45:54.770,u775534,,,,False,False,False,0.2,49.0,,,,True,,1.0,0,0,,False,Mass,39539.0,,False,,,,100.0,2.0,Kingsport,False,False,both,1.0,,,,,
61,24,0 - Step-thru example - cl2 test,,,20,2023-10-19 12:54:04.713,u773253,0.0,36.53,-82.55,True,False,False,100.0,25.0,,,,False,5.0,0.0,0,0,10.0,False,Volume,,,False,,,,100.0,10.0,Kingsport,False,False,night,,,,,,
62,24,1 - Hydrazine Relief,,,20,2023-10-19 12:54:12.037,u773253,0.0,36.523497,-82.552161,True,True,True,,,2.0,113.0,10000.0,False,6.0,3.0,0,1,,False,Mass,90000.0,,False,,,,230.0,5.0,Kingsport,True,False,night,,,,,,
63,24,2 - Hydrazine Process Vessel - Leak Uncontained,,"Oct 3 @ 1414 - Good for Inhalation
Spet 1 @ 2256 - Good for Flash Fire",20,2023-10-19 12:55:07.760,u773253,0.0,36.523497,-82.552161,True,True,False,100.0,170.0,2.0,113.0,10000.0,False,3.0,0.0,0,0,,False,Mass,90000.0,,False,,,,230.0,5.0,Kingsport,True,False,night,,,,,,
64,24,3 - Hydrazine Process Vessel - Leak Contained - 80 m2,,,20,2023-10-19 12:55:31.437,u773253,0.0,36.523497,-82.552161,True,True,False,100.0,170.0,2.0,113.0,10000.0,False,3.0,0.0,0,0,,False,Mass,90000.0,80.0,False,,,,230.0,5.0,Kingsport,False,False,night,,,,,,
65,24,4 - Hydrazine Leak - Restrict Target to Moderate or Better,,,20,2023-10-19 12:55:54.813,u773253,0.0,36.523497,-82.552161,True,True,False,100.0,170.0,,,,False,1.0,0.0,0,0,,False,Mass,90000.0,1.0,False,,,,230.0,5.0,Kingsport,False,False,night,,,,,,
66,24,5 - Ammonia addition to Benzene Storage,,,20,2023-10-19 12:56:35.943,u773253,0.0,36.527292,-82.545278,True,True,False,125.0,25.0,,,,False,20.0,0.0,0,0,400.0,False,Volume,,,False,,,,445.0,10.0,Kingsport,False,False,night,,,,,,
67,24,6 - Ammonia addition to Benzene Storage - Less Ammonia Added than Ex 5,,,20,2023-10-19 12:57:02.807,u773253,0.0,36.527292,-82.545278,True,True,True,125.0,25.0,1.0,25.0,3000.0,False,3.0,5.0,0,0,400.0,False,Mass,137500.0,,False,,,,445.0,10.0,Kingsport,False,False,night,,,,,,
68,24,Ex 7 – Tank Failure on Production Floor - Acetic Acid,,,20,2023-10-19 12:57:13.547,u773253,0.0,36.516488,-82.534856,True,True,False,1.0,25.0,,,,True,,0.0,0,0,100.0,False,Volume,,,False,,,,240.0,5.0,Kingsport,False,False,night,,,,,,
69,24,Ex 8 – Tank Relief inside Production Area - Acetic Acid,,,20,2023-10-19 12:57:19.933,u773253,0.0,36.516488,-82.534856,True,True,True,1.0,25.0,1.0,170.0,8300.0,False,6.0,5.0,0,1,100.0,False,Volume,,,False,,,,240.0,5.0,Kingsport,False,False,night,,,,,,
70,24,Ex 9 – Tank Relief inside Production Area - Acetic Acid - By Mass,,,20,2023-10-19 12:57:26.380,u773253,0.0,36.516488,-82.534856,True,True,True,1.0,25.0,1.0,170.0,8300.0,False,6.0,5.0,0,1,100.0,False,Mass,176.0,,False,,,,240.0,5.0,Kingsport,False,False,night,,,,,,
71,24,10_prev - Group Exercise – Loss of Condensing,,,20,2023-10-19 12:57:36.470,u773253,0.0,36.523593,-82.537809,True,True,True,,,1.0,187.0,60000.0,False,5.0,15.0,6,0,,False,Mass,60000.0,,False,,,,150.0,10.0,Kingsport,True,False,night,,,,,,
72,24,11_prev - Group Exercise Loss of Condensing,,,20,2023-10-19 12:57:39.893,u773253,0.0,36.523593,-82.537809,True,True,True,,,1.0,100.0,6500.0,False,4.0,28.0,6,0,,True,Mass,100000.0,,False,,,,150.0,10.0,Kingsport,True,False,night,,,,,,
73,24,12_prev - Group Exercise Loss of Condensing - Leaks at 2xMAWP,,,20,2023-10-19 12:57:42.820,u773253,0.0,36.523593,-82.537809,True,True,False,50.0,114.0,1.0,100.0,6500.0,False,1.0,0.0,0,0,125.0,False,Volume,100000.0,,False,,,,150.0,10.0,,False,False,night,,,,,,
74,24,13_prev - Group Exercise Loss of Condensing - Rupture at 4xMAWP,,,20,2023-10-19 12:57:46.273,u773253,0.0,36.523593,-82.537809,True,True,False,100.0,137.0,1.0,100.0,6500.0,True,1.0,0.0,0,0,125.0,False,Volume,100000.0,,False,,,,150.0,10.0,,False,False,night,,,,,,
75,24,10 - Hydrazine Relief - Day and Night Occupancy,,,20,2023-10-19 12:57:47.150,u773253,0.0,36.523497,-82.552161,True,True,True,,,2.0,113.0,10000.0,False,6.0,3.0,0,1,,False,Mass,90000.0,,False,,,,230.0,5.0,Kingsport,False,False,both,1.0,,,,,
76,24,11 - Hydrazine Relief - Day and Night Occupancy - Calculating Average Occupancy,,,20,2023-10-19 12:58:30.590,u773253,0.0,36.523497,-82.552161,True,True,True,,,2.0,113.0,10000.0,False,6.0,3.0,0,1,,False,Mass,90000.0,,False,,,,230.0,2.1667,Kingsport,False,False,both,2.1667,,,,,
77,24,12 - Hydrazine Relief - Day and Night Occupancy - Calculating Average Occupancy - Different Day and Night Occupancy for On-Site,,,20,2023-10-19 12:59:07.703,u773253,0.0,36.523497,-82.552161,True,True,True,,,2.0,113.0,10000.0,False,6.0,3.0,0,1,,False,Mass,90000.0,,False,,,,230.0,2.1667,Kingsport,False,False,both,0.833,,,,,
78,24,2 - Hydrazine Process Vessel - Leak Uncontained - COPY - 10/06/2023 09:43:01 -04:00,,,20,2023-10-19 12:59:34.097,u773253,0.0,36.523497,-82.552161,True,True,False,100.0,170.0,2.0,113.0,10000.0,False,3.0,0.0,0,0,,False,Mass,90000.0,,False,,,,230.0,5.0,Kingsport,False,False,night,,,,,,
79,25,"Catastrophic Rupture - A distillation column, rated for 15 psig, is separating methanol and ethylene glycol using 600 psig steam. - EG and Methanol - 205 C - Normal Base Operations",,,20,2023-10-19 12:59:34.653,u773253,0.0,,,True,True,False,15.0,208.0,,,,True,,0.0,0,0,,False,Mass,3000.0,80.0,False,,,,200.0,5.0,Kingsport,True,False,night,,,,,,
80,25,"Catastrophic Rupture - A distillation column, rated for 15 psig, is separating methanol and ethylene glycol using 600 psig steam. - Methanol - 68 C - Normal Column Operation",,,20,2023-10-19 12:59:37.510,u773253,0.0,36.5,-82.5,True,True,False,15.0,68.0,,,,True,,0.0,0,0,,False,Mass,1000.0,80.0,False,,,,200.0,5.0,Kingsport,False,False,night,,,,,,
81,25,"Catastrophic Rupture - A distillation column, rated for 15 psig, is separating methanol and ethylene glycol using 600 psig steam. - Methanol - 68 C - Normal Column Operation - COPY - 04/24/2023 14:53:34 -04:00",,,100,2023-10-19 12:59:41.103,U778836,0.0,36.5,-82.5,True,True,False,15.0,68.0,,,,True,,0.0,0,0,,False,Mass,1000.0,80.0,False,,,,200.0,5.0,,False,False,night,,,,,,
82,25,"Catastrophic Rupture - A distillation column, rated for 15 psig, is separating methanol and ethylene glycol using 600 psig steam. - Methanol - 68 C - Normal Column Operation - COPY - 04/24/2023 14:53:34 -04:00 - COPY - 04/25/2023 10:20:45 -04:00",,,20,2023-10-19 12:59:42.373,U778836,0.0,36.5,-82.5,True,True,False,15.0,68.0,,,,True,,0.0,0,0,,False,Mass,1000.0,80.0,False,,,,200.0,5.0,,False,False,night,,,,,,
83,25,2 - Methanol Tank Failure,,,20,2023-10-19 12:59:44.930,u773253,0.0,,,True,True,False,1.0,25.0,,,,True,,0.0,0,0,300.0,False,Volume,,300.0,False,,,,40.0,3.0,,False,False,night,,,,,,
84,25,3 - Exothermic Reaction - Vessel Rupture due to loss of cooling - Based on Reactants - Rupture 1xMAWP,,,20,2023-10-19 12:59:46.327,u773253,0.0,,,True,True,False,100.0,211.0,,,,True,,0.0,0,0,,False,Mass,6020.0,200.0,False,,,,75.0,8.0,,False,False,night,,,,,,
85,25,3 - PROD - Exothermic Reaction - Vessel Rupture due to loss of cooling - Based on Products - Rupture 1xMAWP - COPY - 04/25/2023 14:46:25 -04:00,,,100,2023-10-19 12:59:53.653,u773253,0.0,,,True,True,False,100.0,211.0,,,,True,,0.0,0,0,,False,Mass,6020.0,200.0,False,,,,75.0,8.0,,False,False,night,,,,,,
86,25,4 - Nat Gas Release - 300 psig,,,20,2023-10-19 12:59:53.993,u773253,0.0,,,False,True,False,300.0,25.0,,,,False,2.0,3.0,0,0,,False,Mass,1000000.0,,False,,,,75.0,0.375,,False,False,night,,,,,,
87,25,5 - Column Failure,,,20,2023-10-19 12:59:57.757,u773253,0.0,,,True,True,False,300.0,180.0,,,,True,,0.0,0,0,,False,Mass,25000.0,40.0,False,,,,100.0,5.0,,False,False,night,,,,,,
88,25,3 - Exothermic Reaction - Vessel Rupture due to loss of cooling - Based on Solvent - Rupture 4xMAWP,,,20,2023-10-19 13:00:00.173,u773253,0.0,,,True,True,False,100.0,289.37,,,,True,,0.0,0,0,,False,Mass,5000.0,200.0,False,,,,75.0,8.0,,False,False,night,,,,,,
89,26,0 - Step-thru example - cl2 test,,,20,2023-10-19 13:00:02.980,u773253,0.0,36.53,-82.55,True,False,False,100.0,25.0,,,,False,5.0,0.0,0,0,10.0,False,Volume,,,False,,,,100.0,10.0,Kingsport,False,False,night,,,,,,
90,26,1 - Hydrazine Relief,,,20,2023-10-19 13:00:05.887,u773253,0.0,36.523497,-82.552161,True,True,True,,,2.0,113.0,10000.0,False,6.0,3.0,0,1,,False,Mass,90000.0,,False,,,,230.0,5.0,Kingsport,True,False,night,,,,,,
91,26,2 - Hydrazine Process Vessel - Leak Uncontained,,,20,2023-10-19 13:00:25.770,u773253,0.0,36.523497,-82.552161,True,True,False,100.0,170.0,2.0,113.0,10000.0,False,3.0,0.0,0,0,,False,Mass,90000.0,,False,,,,230.0,5.0,Kingsport,False,False,night,,,,,,
92,26,3 - Hydrazine Process Vessel - Leak Contained - 80 m2,,,20,2023-10-19 13:00:32.537,u773253,0.0,36.523497,-82.552161,True,True,False,100.0,170.0,2.0,113.0,10000.0,False,3.0,0.0,0,0,,False,Mass,90000.0,80.0,False,,,,230.0,5.0,Kingsport,False,False,night,,,,,,
93,26,4 - Hydrazine Leak - Restrict Target to Moderate or Better,,,20,2023-10-19 13:00:43.503,u773253,0.0,36.523497,-82.552161,True,True,False,100.0,170.0,,,,False,1.0,0.0,0,0,,False,Mass,90000.0,1.0,False,,,,230.0,5.0,Kingsport,False,False,night,,,,,,
94,26,5 - Ammonia addition to Benzene Storage,,,20,2023-10-19 13:00:58.653,u773253,0.0,36.527292,-82.545278,True,True,False,125.0,25.0,,,,False,20.0,0.0,0,0,400.0,False,Volume,,,False,,,,445.0,10.0,Kingsport,False,False,night,,,,,,
95,26,6 - Ammonia addition to Benzene Storage - Less Ammonia Added than Ex 5,,,20,2023-10-19 13:01:05.987,u773253,0.0,36.527292,-82.545278,True,True,True,125.0,25.0,1.0,25.0,3000.0,False,3.0,5.0,0,0,400.0,False,Mass,137500.0,,False,,,,445.0,10.0,Kingsport,False,False,night,,,,,,
96,26,Ex 7 – Tank Failure on Production Floor - Acetic Acid,,,20,2023-10-19 13:01:15.337,u773253,0.0,36.516488,-82.534856,True,True,False,1.0,25.0,,,,True,,0.0,0,0,100.0,False,Volume,,,False,,,,240.0,5.0,Kingsport,False,False,night,,,,,,
97,26,Ex 8 – Tank Relief inside Production Area - Acetic Acid,,,20,2023-10-19 13:01:20.230,u773253,0.0,36.516488,-82.534856,True,True,True,1.0,25.0,1.0,170.0,8300.0,False,6.0,5.0,0,1,100.0,False,Volume,,,False,,,,240.0,5.0,Kingsport,False,False,night,,,,,,
98,26,Ex 9 – Tank Relief inside Production Area - Acetic Acid - By Mass,,,20,2023-10-19 13:01:24.103,u773253,0.0,36.516488,-82.534856,True,True,True,1.0,25.0,1.0,170.0,8300.0,False,6.0,5.0,0,1,100.0,False,Mass,176.0,,False,,,,240.0,5.0,Kingsport,False,False,night,,,,,,
99,26,10_prev - Group Exercise – Loss of Condensing,,,20,2023-10-19 13:01:32.123,u773253,0.0,36.523593,-82.537809,True,True,True,,,1.0,187.0,60000.0,False,5.0,15.0,6,0,,False,Mass,60000.0,,False,,,,150.0,10.0,Kingsport,True,False,night,,,,,,
100,26,11_prev - Group Exercise Loss of Condensing,,,20,2023-10-19 13:01:35.860,u773253,0.0,36.523593,-82.537809,True,True,True,,,1.0,100.0,6500.0,False,4.0,28.0,6,0,,True,Mass,100000.0,,False,,,,150.0,10.0,Kingsport,True,False,night,,,,,,
101,26,12_prev - Group Exercise Loss of Condensing - Leaks at 2xMAWP,,,20,2023-10-19 13:01:39.270,u773253,0.0,36.523593,-82.537809,True,True,False,50.0,114.0,1.0,100.0,6500.0,False,1.0,0.0,0,0,125.0,False,Volume,100000.0,,False,,,,150.0,10.0,,False,False,night,,,,,,
102,26,13_prev - Group Exercise Loss of Condensing - Rupture at 4xMAWP,,,20,2023-10-19 13:01:43.310,u773253,0.0,36.523593,-82.537809,True,True,False,100.0,137.0,1.0,100.0,6500.0,True,1.0,0.0,0,0,125.0,False,Volume,100000.0,,False,,,,150.0,10.0,,False,False,night,,,,,,
103,26,10 - Hydrazine Relief - Day and Night Occupancy,,,20,2023-10-19 13:01:44.230,u773253,0.0,36.523497,-82.552161,True,True,True,,,2.0,113.0,10000.0,False,6.0,3.0,0,1,,False,Mass,90000.0,,False,,,,230.0,5.0,Kingsport,False,False,both,1.0,,,,,
